iter	Passed	Remaining
0	84	42013
1	104	25973
2	120	19945
3	132	16437
4	149	14766
5	157	12987
6	168	11854
7	178	10954
8	194	10593
9	207	10165
10	219	9738
11	235	9584
12	253	9490
13	258	8988
14	272	8825
15	278	8438
16	292	8313
17	301	8070
18	316	8009
19	336	8067
20	351	8027
21	365	7946
22	379	7870
23	393	7800
24	409	7773
25	426	7779
26	436	7639
27	452	7621
28	466	7572
29	478	7488
30	492	7454
31	506	7412
32	520	7361
33	534	7327
34	550	7315
35	562	7252
36	570	7140
37	585	7113
38	590	6975
39	604	6956
40	619	6938
41	634	6918
42	649	6897
43	662	6870
44	675	6833
45	688	6795
46	704	6786
47	717	6758
48	727	6697
49	741	6677
50	760	6694
51	772	6655
52	787	6640
53	803	6640
54	818	6623
55	830	6584
56	844	6565
57	857	6533
58	870	6508
59	886	6503
60	895	6445
61	909	6424
62	920	6385
63	925	6301
64	940	6293
65	955	6284
66	970	6271
67	985	6260
68	1000	6252
69	1014	6234
70	1027	6206
71	1041	6192
72	1058	6188
73	1066	6139
74	1078	6110
75	1092	6093
76	1108	6086
77	1118	6051
78	1133	6041
79	1148	6031
80	1162	6015
81	1179	6011
82	1184	5948
83	1198	5932
84	1210	5909
85	1223	5887
86	1237	5876
87	1252	5863
88	1267	5851
89	1279	5829
90	1293	5814
91	1308	5801
92	1316	5759
93	1327	5735
94	1343	5727
95	1354	5701
96	1368	5684
97	1381	5665
98	1394	5650
99	1405	5623
100	1415	5590
101	1427	5570
102	1435	5534
103	1449	5518
104	1465	5512
105	1484	5517
106	1500	5512
107	1509	5478
108	1521	5456
109	1533	5438
110	1547	5423
111	1560	5407
112	1572	5385
113	1588	5378
114	1604	5372
115	1620	5365
116	1645	5385
117	1666	5396
118	1687	5404
119	1702	5391
120	1716	5376
121	1728	5356
122	1743	5342
123	1757	5329
124	1769	5309
125	1785	5300
126	1799	5286
127	1814	5272
128	1826	5252
129	1841	5240
130	1856	5229
131	1871	5217
132	1886	5204
133	1900	5191
134	1916	5182
135	1929	5165
136	1941	5143
137	1956	5133
138	1971	5121
139	1987	5109
140	2001	5097
141	2017	5086
142	2037	5086
143	2052	5074
144	2067	5061
145	2082	5050
146	2098	5039
147	2113	5026
148	2125	5007
149	2140	4994
150	2154	4978
151	2168	4965
152	2182	4950
153	2197	4937
154	2210	4921
155	2225	4908
156	2238	4890
157	2253	4878
158	2269	4866
159	2284	4854
160	2300	4843
161	2314	4828
162	2328	4814
163	2341	4797
164	2353	4778
165	2369	4767
166	2383	4752
167	2398	4739
168	2409	4718
169	2422	4701
170	2436	4687
171	2448	4669
172	2460	4650
173	2475	4638
174	2491	4627
175	2506	4614
176	2522	4602
177	2539	4593
178	2555	4582
179	2573	4574
180	2587	4561
181	2603	4548
182	2618	4535
183	2633	4523
184	2648	4509
185	2666	4501
186	2681	4487
187	2695	4473
188	2711	4462
189	2727	4449
190	2742	4437
191	2758	4425
192	2773	4410
193	2787	4396
194	2802	4383
195	2816	4368
196	2831	4355
197	2846	4340
198	2859	4324
199	2873	4310
200	2889	4297
201	2903	4282
202	2918	4270
203	2934	4257
204	2949	4243
205	2965	4232
206	2979	4217
207	2994	4203
208	3009	4190
209	3025	4177
210	3040	4164
211	3055	4150
212	3069	4136
213	3086	4125
214	3099	4109
215	3113	4093
216	3128	4079
217	3142	4064
218	3157	4051
219	3172	4038
220	3187	4023
221	3202	4010
222	3218	3997
223	3231	3981
224	3245	3966
225	3260	3953
226	3274	3938
227	3289	3924
228	3303	3909
229	3319	3896
230	3335	3884
231	3350	3869
232	3370	3862
233	3384	3847
234	3400	3834
235	3414	3820
236	3429	3805
237	3452	3801
238	3464	3783
239	3476	3765
240	3491	3752
241	3506	3738
242	3521	3724
243	3534	3708
244	3550	3695
245	3560	3676
246	3574	3661
247	3588	3646
248	3605	3633
249	3620	3620
250	3636	3607
251	3652	3594
252	3664	3577
253	3680	3564
254	3693	3548
255	3707	3533
256	3721	3518
257	3736	3504
258	3750	3489
259	3765	3475
260	3781	3462
261	3795	3447
262	3811	3434
263	3827	3421
264	3838	3403
265	3853	3389
266	3869	3376
267	3882	3360
268	3895	3345
269	3911	3332
270	3927	3318
271	3946	3307
272	3959	3292
273	3974	3278
274	3990	3264
